,index,0
401,juridique,76
402,importante,470
403,viguerie,3
404,talmond,2
405,guillaume,212
406,grand,2360
407,poitiers,94
408,duc,456
409,aquitaine,122
410,entreprend,55
411,choisissant,12
412,point,811
413,appui,107
414,site,402
415,talmont,65
416,base,604
417,forteresses,38
418,confie,94
419,chauve,25
420,devenu,288
421,seigneurie,73
422,construction,581
423,endroit,114
424,roi,1592
425,philippe,339
426,bel,57
427,charles,631
428,valois,36
429,mariages,35
430,investitures,4
431,passe,526
432,mains,203
433,appartient,148
434,maison,492
435,beauvau,4
436,passer,287
437,celle,1339
438,lors,2481
439,mariage,239
440,isabelle,24
441,dame,191
442,jean,1286
443,viii,60
444,devient,1068
445,pairie,12
446,passant,140
447,montpensier,5
448,puis,1938
449,repris,142
450,anglais,545
451,olivier,49
452,clisson,2
453,guerres,216
454,religion,297
455,secouent,6
456,finalement,445
457,effet,944
458,contre,2149
459,reste,884
460,prennent,131
461,passage,297
462,colonnes,73
463,infernales,1
464,prairial,13
465,xii,38
466,pris,295
467,consul,53
468,transfert,51
469,ancienne,575
470,capitale,506
471,fonde,103
472,administrative,195
473,militaire,518
474,inscrit,229
475,cadre,344
476,mesures,183
477,pacification,13
478,issue,243
479,celui,1486
480,territoriale,82
481,choix,306
482,explique,228
483,saumur,9
484,suffisamment,83
485,littoral,77
486,pas,5637
487,atteinte,55
488,invasion,90
489,marche,143
490,susceptible,27
491,jusqu,1997
492,mer,668
493,nouvelle,1306
494,cormier,2
495,valot,1
496,maillage,8
497,grille,102
498,damier,10
499,division,285
500,quatre,1258
501,quartiers,203
502,face,690
503,lenteur,9
504,empereur,497
505,rend,273
506,devant,836
507,dira,27
508,pleines,7
509,palais,258
510,vous,181
511,avez,14
512,construit,257
513,boue,12
514,car,984
515,emmanuel,57
516,ministre,341
517,directeur,256
518,avait,1652
519,sans,1852
520,avis,86
521,faire,1467
522,reconstruire,33
523,cointeraux,1
524,certains,1080
525,seront,204
526,finis,8
527,chute,250
528,atteindre,196
529,limites,166
530,tout,2144
531,long,646
532,bicentenaire,8
533,fondation,186
534,outre,434
535,nombreuses,829
536,manifestations,92
537,occasion,414
538,laisser,136
539,trace,57
540,significative,40
541,tapisserie,17
